alpha_id,alpha_name,source_file,mode,family_or_cluster,status,raw_net_R,cost_adjusted_R,estimated_cost_R,trade_count,winrate,ic_score,oos_R,walk_forward_status,holdout_status,contaminated,failure_reason,primary_loss_bucket,symbol_concentration,regime_available,session_available,spread_available,volume_available,baseline_compared,baseline_dominance_status,classification,rescue_action,inversion_priority,segment_rescue_priority,cost_rescue_priority,retest_priority,recommended_next_experiment,confidence,notes
scalp_bb_position_mean_reversion_v1,BB Position Mean-Reversion v1,reports/ALPHA_INVENTORY_FULL.csv,SCALP,mean_reversion,CONTAMINATED,0.0043,,0.062,4552,,,,UNKNOWN,NOT_RUN,True,CONTAMINATED: _rolling_mean used np.convolve(mode='same') leaking future data. bb_position 97.3% dominance. Must re-validate on corrected features.,,UNKNOWN,False,False,False,False,False,UNKNOWN,CONTAMINATED_REJECT,Do not use. Check if corrected v2 exists.,0,0,0,0,,HIGH,CONTAMINATED: _rolling_mean used np.convolve(mode='same') leaking future data. bb_position 97.3% dominance. Must re-validate on corrected features.
scalp_bb_position_mean_reversion_v2,BB Position Mean-Reversion v2 (corrected),reports/ALPHA_INVENTORY_FULL.csv,SCALP,mean_reversion,HOLD,,,0.062,,,,,UNKNOWN,UNKNOWN,False,Pipeline fixed (mode='full'[:n]). Re-validation not yet run.,,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Re-run with completed simulation pipeline,0,0,0,3,,LOW,Pipeline fixed (mode='full'[:n]). Re-validation not yet run.
discovery_pipeline_v6,"Discovery Pipeline V6 (real data, 4-sym)",reports/ALPHA_INVENTORY_FULL.csv,SCALP,discovery_pipeline,REJECTED,0.0515,,0.062,870,0.4966,,,UNKNOWN,NOT_RUN,False,Best honest result: +0.0515R. Below SCALP promotion threshold (0.05R borderline). DD=-20.96R. REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,PROMISING_RAW_POSITIVE,Cost rescue: regime/symbol filters needed,0,0,5,0,,HIGH,Best honest result: +0.0515R. Below SCALP promotion threshold (0.05R borderline). DD=-20.96R. REJECT.
scalp_1h_direction_v01,SCALP 1h Direction (XGBoost 2-class),reports/ALPHA_INVENTORY_FULL.csv,SCALP,XGBoost,REJECTED,0.007648,,0.062,31752,,,,UNKNOWN,NOT_RUN,False,"OOS acc=0.5149, marginally beats random. Flat calibration. Not V7_READY.",,UNKNOWN,False,False,False,False,False,UNKNOWN,PROMISING_RAW_POSITIVE,Needs cost survival. Test confidence threshold filter.,0,0,3,0,,MEDIUM,"OOS acc=0.5149, marginally beats random. Flat calibration. Not V7_READY."
scalp_op005_base_12sym,"SCALP Baseline (Operation 0.05, taker, 12 sym)",reports/ALPHA_INVENTORY_FULL.csv,SCALP,discovery_pipeline,REJECTED,-0.0951,,0.062,4726,0.4448,,,UNKNOWN,NOT_RUN,False,True base R on 12 real symbols. Negative expectancy. 0.1328R short of 0.05 target.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Test regime/symbol filtering. May have segments.,0,3,2,0,,HIGH,True base R on 12 real symbols. Negative expectancy. 0.1328R short of 0.05 target.
scalp_op005_maker_pess_12sym,"SCALP Maker-Pessimistic (Operation 0.05, 12 sym)",reports/ALPHA_INVENTORY_FULL.csv,SCALP,discovery_pipeline,REJECTED,-0.0828,,0.062,4726,0.4467,,,UNKNOWN,NOT_RUN,False,Best honest stack: -0.0828R. Still 0.1328R short of 0.05 target.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Test regime/symbol filtering. May have segments.,0,3,2,0,,HIGH,Best honest stack: -0.0828R. Still 0.1328R short of 0.05 target.
swing_control_12sym,"SWING Control (Operation 0.05, taker, 12 sym)",reports/ALPHA_INVENTORY_FULL.csv,SWING,other,REJECTED,-0.1138,,0.062,2270,0.4137,,,UNKNOWN,NOT_RUN,False,"SWING control baseline. Negative expectancy. Cost decomposition: fee=0.0468R, slippage=0.0118R.",,UNKNOWN,False,False,False,False,False,UNKNOWN,REJECT_FOREVER,Control baseline. Strongly negative. No rescue path.,0,0,0,0,,HIGH,"SWING control baseline. Negative expectancy. Cost decomposition: fee=0.0468R, slippage=0.0118R."
fs_trend_pullback_ema,Trend Pullback EMA,reports/ALPHA_INVENTORY_FULL.csv,SWING,trend,REJECTED,-0.1033,,0.062,40944,,,,UNKNOWN,UNKNOWN,False,SWING_PROXY_1H. Negative total R (-4231). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,SWING_PROXY_1H. Negative total R (-4231). REJECT.
fs_compression_breakout_regime,Compression Breakout Regime,reports/ALPHA_INVENTORY_FULL.csv,SWING,breakout,REJECTED,-0.1061,,0.062,45669,,,,UNKNOWN,UNKNOWN,False,Negative total R (-4847). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-4847). REJECT.
fs_spread_contraction_signal,Spread Contraction Signal,reports/ALPHA_INVENTORY_FULL.csv,SWING,spread_microstructure,REJECTED,-0.1101,,0.062,44562,,,,UNKNOWN,UNKNOWN,False,Negative total R (-4908). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-4908). REJECT.
fs_corwin_schultz_spread_proxy,Corwin-Schultz Spread Proxy,reports/ALPHA_INVENTORY_FULL.csv,SWING,spread_microstructure,REJECTED,-0.1164,,0.062,49672,,,,UNKNOWN,UNKNOWN,False,Negative total R (-5781). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-5781). REJECT.
fs_volume_climax_reversal_long,Volume Climax Reversal Long,reports/ALPHA_INVENTORY_FULL.csv,SWING,volume,REJECTED,-0.1143,,0.062,57167,,,,UNKNOWN,UNKNOWN,False,Negative total R (-6535). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-6535). REJECT.
fs_volume_climax_reversal_short,Volume Climax Reversal Short,reports/ALPHA_INVENTORY_FULL.csv,SWING,volume,REJECTED,-0.1227,,0.062,57227,,,,UNKNOWN,UNKNOWN,False,Negative total R (-7023). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-7023). REJECT.
fs_session_volatility_regime,Session Volatility Regime,reports/ALPHA_INVENTORY_FULL.csv,SWING,volatility,REJECTED,-0.2439,,0.062,44342,,,,UNKNOWN,UNKNOWN,False,Negative total R (-10816). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,SEGMENT_RESCUE_CANDIDATE,Moderately negative. Try regime/symbol splitting.,0,2,0,0,,LOW,Negative total R (-10816). REJECT.
fs_btc_uptrend_pullback_long,BTC Uptrend Pullback Long,reports/ALPHA_INVENTORY_FULL.csv,SWING,BTC_dependency,REJECTED,-0.415,,0.062,21628,,,,UNKNOWN,UNKNOWN,False,Negative total R (-8976). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,REJECT_FOREVER,Strongly negative across BTC regime. Not rescuable.,0,0,0,0,,HIGH,Negative total R (-8976). REJECT.
fs_btc_lead_lag_alt_short,BTC Lead-Lag Alt Short,reports/ALPHA_INVENTORY_FULL.csv,SWING,BTC_dependency,REJECTED,-0.3611,,0.062,35738,,,,UNKNOWN,UNKNOWN,False,Negative total R (-12904). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,REJECT_FOREVER,Strongly negative across BTC regime. Not rescuable.,0,0,0,0,,HIGH,Negative total R (-12904). REJECT.
fs_btc_lead_lag_alt_long,BTC Lead-Lag Alt Long,reports/ALPHA_INVENTORY_FULL.csv,SWING,BTC_dependency,REJECTED,-0.3628,,0.062,35744,,,,UNKNOWN,UNKNOWN,False,Negative total R (-12968). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,REJECT_FOREVER,Strongly negative across BTC regime. Not rescuable.,0,0,0,0,,HIGH,Negative total R (-12968). REJECT.
fs_btc_downtrend_breakdown_short,BTC Downtrend Breakdown Short,reports/ALPHA_INVENTORY_FULL.csv,SWING,BTC_dependency,REJECTED,-0.42,,0.062,41974,,,,UNKNOWN,UNKNOWN,False,Negative total R (-17628). REJECT.,,UNKNOWN,False,False,False,False,False,UNKNOWN,REJECT_FOREVER,Strongly negative across BTC regime. Not rescuable.,0,0,0,0,,HIGH,Negative total R (-17628). REJECT.
fs_breakdown_n_low_24h,Breakdown N Low 24h,reports/ALPHA_INVENTORY_FULL.csv,SCALP,breakout,WATCH,,,0.062,29893,,-0.045,,UNKNOWN,UNKNOWN,False,"Best IC signal: mean_rank_ic=-0.045, IC_IR=0.15. WATCH but sim-space negative.",,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Re-run with completed simulation pipeline,0,0,0,3,,LOW,"Best IC signal: mean_rank_ic=-0.045, IC_IR=0.15. WATCH but sim-space negative."
fs_volume_zscore_24h,Volume Z-Score 24h,reports/ALPHA_INVENTORY_FULL.csv,SCALP,volume,REJECTED,,,0.062,29893,,0.035,,UNKNOWN,UNKNOWN,False,"IC_IR=0.14, orientation flipped (inverted). Sim-space negative.",,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Insufficient data to classify. Re-run for completeness.,0,0,0,1,,LOW,"IC_IR=0.14, orientation flipped (inverted). Sim-space negative."
fs_ret_24h_rank_24h,Ret 24h Rank 24h,reports/ALPHA_INVENTORY_FULL.csv,SCALP,momentum,REJECTED,,,0.062,29880,,0.029,,UNKNOWN,UNKNOWN,False,"IC_IR=0.10, flipped. Sim-space negative.",,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Insufficient data to classify. Re-run for completeness.,0,0,0,1,,LOW,"IC_IR=0.10, flipped. Sim-space negative."
fs_ret_4h_rank_1h,Ret 4h Rank 1h,reports/ALPHA_INVENTORY_FULL.csv,SCALP,momentum,REJECTED,,,0.062,29922,,0.029,,UNKNOWN,UNKNOWN,False,"IC_IR=0.10, flipped. Sim-space negative.",,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Insufficient data to classify. Re-run for completeness.,0,0,0,1,,LOW,"IC_IR=0.10, flipped. Sim-space negative."
fs_reversal_4h_zscore_1h,Reversal 4h Z-Score 1h,reports/ALPHA_INVENTORY_FULL.csv,SCALP,mean_reversion,REJECTED,,,0.062,29922,,0.029,,UNKNOWN,UNKNOWN,False,IC_IR=0.10. Sim-space negative.,,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Insufficient data to classify. Re-run for completeness.,0,0,0,1,,LOW,IC_IR=0.10. Sim-space negative.
fs_volume_zscore_12h,Volume Z-Score 12h,reports/ALPHA_INVENTORY_FULL.csv,SCALP,volume,REJECTED,,,0.062,29905,,0.029,,UNKNOWN,UNKNOWN,False,"IC_IR=0.12, flipped. Sim-space negative.",,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Insufficient data to classify. Re-run for completeness.,0,0,0,1,,LOW,"IC_IR=0.12, flipped. Sim-space negative."
fs_trend_pullback_ema_24h,Trend Pullback EMA 24h,reports/ALPHA_INVENTORY_FULL.csv,SCALP,trend,REJECTED,,,0.062,29881,,0.029,,UNKNOWN,UNKNOWN,False,"IC_IR=0.11, flipped. Sim-space negative.",,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Insufficient data to classify. Re-run for completeness.,0,0,0,1,,LOW,"IC_IR=0.11, flipped. Sim-space negative."
fs_breakdown_n_low_12h,Breakdown N Low 12h,reports/ALPHA_INVENTORY_FULL.csv,SCALP,breakout,REJECTED,,,0.062,29905,,-0.041,,UNKNOWN,UNKNOWN,False,IC_IR=0.14. Sim-space negative.,,UNKNOWN,False,False,False,False,False,UNKNOWN,RETEST_REQUIRED,Insufficient data to classify. Re-run for completeness.,0,0,0,1,,LOW,IC_IR=0.14. Sim-space negative.
fs_trend_pullback_ema_SWING_PROXY_1H_long,trend_pullback_ema,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,trend,REJECT,-0.103345,,0.062,40944,0.427,,,UNKNOWN,NOT_RUN,False,negative total R (-4231.35),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1033R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-4231.35)
fs_compression_breakout_regime_SWING_PROXY_1H_long,compression_breakout_regime,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,breakout,REJECT,-0.106144,,0.062,45669,0.4306,,,UNKNOWN,NOT_RUN,False,negative total R (-4847.49),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1061R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-4847.49)
fs_spread_contraction_signal_SWING_PROXY_1H_long,spread_contraction_signal,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,spread_microstructure,REJECT,-0.11014,,0.062,44562,0.4336,,,UNKNOWN,NOT_RUN,False,negative total R (-4908.06),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1101R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-4908.06)
fs_corwin_schultz_spread_proxy_SWING_PROXY_1H_long,corwin_schultz_spread_proxy,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,spread_microstructure,REJECT,-0.116375,,0.062,49672,0.422,,,UNKNOWN,NOT_RUN,False,negative total R (-5780.57),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1164R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-5780.57)
fs_volume_climax_reversal_long_SWING_PROXY_1H_long,volume_climax_reversal_long,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,volume,REJECT,-0.114321,,0.062,57167,0.4301,,,UNKNOWN,NOT_RUN,False,negative total R (-6535.37),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1143R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-6535.37)
fs_volume_climax_reversal_short_SWING_PROXY_1H_short,volume_climax_reversal_short,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,volume,REJECT,-0.122728,,0.062,57227,0.4307,,,UNKNOWN,NOT_RUN,False,negative total R (-7023.33),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1227R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-7023.33)
fs_trend_pullback_ema_SCALP_1H_SLOW_long,trend_pullback_ema,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_SLOW,trend,REJECT,-0.143271,,0.062,59013,0.4251,,,UNKNOWN,NOT_RUN,False,negative total R (-8454.84),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1433R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-8454.84)
fs_btc_uptrend_pullback_long_SWING_PROXY_1H_long,btc_uptrend_pullback_long,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,BTC_dependency,REJECT,-0.414996,,0.062,21628,0.4306,,,UNKNOWN,NOT_RUN,False,negative total R (-8975.54),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.41R negative across 21628 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-8975.54)
fs_spread_contraction_signal_SCALP_1H_SLOW_long,spread_contraction_signal,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_SLOW,spread_microstructure,REJECT,-0.148583,,0.062,62952,0.4295,,,UNKNOWN,NOT_RUN,False,negative total R (-9353.58),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1486R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-9353.58)
fs_compression_breakout_regime_SCALP_1H_SLOW_long,compression_breakout_regime,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_SLOW,breakout,REJECT,-0.149082,,0.062,64798,0.4256,,,UNKNOWN,NOT_RUN,False,negative total R (-9660.21),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1491R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-9660.21)
fs_session_volatility_regime_SWING_PROXY_1H_long,session_volatility_regime,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,volatility,REJECT,-0.243933,,0.062,44342,0.4355,,,UNKNOWN,NOT_RUN,False,negative total R (-10816.48),,UNKNOWN,False,False,False,False,False,UNKNOWN,BASELINE_DUPLICATE,"Baseline concept (session_volatility_regime). Keep for benchmark, not alpha.",0,0,0,0,,HIGH,negative total R (-10816.48)
fs_corwin_schultz_spread_proxy_SCALP_1H_SLOW_long,corwin_schultz_spread_proxy,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_SLOW,spread_microstructure,REJECT,-0.153826,,0.062,72581,0.4221,,,UNKNOWN,NOT_RUN,False,negative total R (-11164.84),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1538R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-11164.84)
fs_ret_4h_rank_SWING_PROXY_1H_long,ret_4h_rank,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,momentum,REJECT,-0.234488,,0.062,49668,0.4289,,,UNKNOWN,NOT_RUN,False,negative total R (-11646.57),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.23R negative across 49668 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-11646.57)
fs_range_zscore_SWING_PROXY_1H_long,range_zscore,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,volatility,REJECT,-0.437945,,0.062,27065,0.4311,,,UNKNOWN,NOT_RUN,False,negative total R (-11852.99),,UNKNOWN,False,False,False,False,False,UNKNOWN,BASELINE_DUPLICATE,"Baseline concept (range_zscore). Keep for benchmark, not alpha.",0,0,0,0,,HIGH,negative total R (-11852.99)
fs_trend_pullback_ema_SCALP_1H_FAST_long,trend_pullback_ema,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_FAST,trend,REJECT,-0.144535,,0.062,83501,0.4055,,,UNKNOWN,NOT_RUN,False,negative total R (-12068.85),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1445R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-12068.85)
fs_btc_lead_lag_alt_short_SWING_PROXY_1H_short,btc_lead_lag_alt_short,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,BTC_dependency,REJECT,-0.361085,,0.062,35738,0.4297,,,UNKNOWN,NOT_RUN,False,negative total R (-12904.45),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.36R negative across 35738 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-12904.45)
fs_btc_lead_lag_alt_long_SWING_PROXY_1H_long,btc_lead_lag_alt_long,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,BTC_dependency,REJECT,-0.362795,,0.062,35744,0.4299,,,UNKNOWN,NOT_RUN,False,negative total R (-12967.74),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.36R negative across 35744 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-12967.74)
fs_compression_breakout_regime_SCALP_1H_FAST_long,compression_breakout_regime,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_FAST,breakout,REJECT,-0.147637,,0.062,90000,0.4088,,,UNKNOWN,NOT_RUN,False,negative total R (-13287.29),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1476R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-13287.29)
fs_spread_contraction_signal_SCALP_1H_FAST_long,spread_contraction_signal,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_FAST,spread_microstructure,REJECT,-0.15233,,0.062,87738,0.413,,,UNKNOWN,NOT_RUN,False,negative total R (-13365.15),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1523R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-13365.15)
fs_ret_12h_rank_SWING_PROXY_1H_long,ret_12h_rank,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,momentum,REJECT,-0.311087,,0.062,43911,0.4303,,,UNKNOWN,NOT_RUN,False,negative total R (-13660.14),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.31R negative across 43911 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-13660.14)
fs_volume_climax_reversal_long_SCALP_1H_SLOW_long,volume_climax_reversal_long,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_SLOW,volume,REJECT,-0.163385,,0.062,87009,0.4215,,,UNKNOWN,NOT_RUN,False,negative total R (-14215.95),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1634R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-14215.95)
fs_volume_climax_reversal_short_SCALP_1H_SLOW_short,volume_climax_reversal_short,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_SLOW,volume,REJECT,-0.165008,,0.062,86916,0.4233,,,UNKNOWN,NOT_RUN,False,negative total R (-14341.83),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1650R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-14341.83)
fs_reversal_4h_zscore_SWING_PROXY_1H_long,reversal_4h_zscore,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,mean_reversion,REJECT,-0.290633,,0.062,49985,0.433,,,UNKNOWN,NOT_RUN,False,negative total R (-14527.29),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.29R negative across 49985 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-14527.29)
fs_ret_24h_rank_SWING_PROXY_1H_long,ret_24h_rank,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,momentum,REJECT,-0.391287,,0.062,40016,0.4315,,,UNKNOWN,NOT_RUN,False,negative total R (-15657.73),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.39R negative across 40016 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-15657.73)
fs_ret_1h_rank_SWING_PROXY_1H_long,ret_1h_rank,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,momentum,REJECT,-0.297164,,0.062,53005,0.4301,,,UNKNOWN,NOT_RUN,False,negative total R (-15751.16),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.30R negative across 53005 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-15751.16)
fs_corwin_schultz_spread_proxy_SCALP_1H_FAST_long,corwin_schultz_spread_proxy,reports/ALPHA_INVENTORY_FULL.csv,SCALP_1H_FAST,spread_microstructure,REJECT,-0.154865,,0.062,101963,0.4011,,,UNKNOWN,NOT_RUN,False,negative total R (-15790.54),,UNKNOWN,False,False,False,False,False,UNKNOWN,FEATURE_ONLY,Weak signal (-0.1549R). Use as feature/filter.,0,0,0,0,,LOW,negative total R (-15790.54)
fs_reversal_1h_zscore_SWING_PROXY_1H_long,reversal_1h_zscore,reports/ALPHA_INVENTORY_FULL.csv,SWING_PROXY_1H,mean_reversion,REJECT,-0.312778,,0.062,53064,0.4316,,,UNKNOWN,NOT_RUN,False,negative total R (-16597.25),,UNKNOWN,False,False,False,False,False,UNKNOWN,INVERSION_CANDIDATE,Consistently 0.31R negative across 53064 trades. Invert signal.,4,0,0,0,,MEDIUM,negative total R (-16597.25)
