symbol,start_date,end_date,days_covered,row_count,timeframes
AAVEUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
ADAUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78816,1h
ALGOUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
APEUSDT,2022-03-17 15:00:00+00:00,2026-06-30 23:00:00+00:00,1566,37593,1h
APTUSDT,2022-10-19 02:00:00+00:00,2026-06-30 23:00:00+00:00,1350,64844,1h
ARBUSDT,2023-03-23 15:00:00+00:00,2026-06-30 23:00:00+00:00,1195,57378,1h
ATOMUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78816,1h
AVAXUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78816,1h
AXSUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
BCHUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78816,1h
BNBUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,201408,1h
BTCUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,201408,1h
COMPUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
CRVUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
DOGEUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78816,1h
DOTUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78816,1h
EOSUSDT,2022-01-01 00:00:00+00:00,2025-05-21 09:00:00+00:00,1236,29674,1h
ETCUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
ETHUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,201408,1h
FILUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78574,1h
FTMUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
GALAUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
GRTUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
HBARUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
ICPUSDT,2022-01-01 01:00:00+00:00,2026-06-30 23:00:00+00:00,1641,38776,1h
IMXUSDT,2022-02-11 03:00:00+00:00,2026-06-30 23:00:00+00:00,1600,38300,1h
INJUSDT,2022-08-17 02:00:00+00:00,2026-06-30 23:00:00+00:00,1413,33934,1h
KAVAUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
KSMUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
LDOUSDT,2022-09-22 12:00:00+00:00,2026-06-30 23:00:00+00:00,1377,33060,1h
LINKUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78816,1h
LTCUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78574,1h
MANAUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
MKRUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
NEARUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
OPUSDT,2022-06-01 14:00:00+00:00,2026-06-30 23:00:00+00:00,1490,71540,1h
QNTUSDT,2022-10-20 02:00:00+00:00,2026-06-30 23:00:00+00:00,1349,32398,1h
RUNEUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
SANDUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
SNXUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
SOLUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,201166,1h
STXUSDT,2023-02-21 14:00:00+00:00,2026-06-30 23:00:00+00:00,1225,29410,1h
SUIUSDT,2023-05-03 16:00:00+00:00,2026-06-30 23:00:00+00:00,1154,55408,1h
THETAUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
TIAUSDT,2023-10-31 18:00:00+00:00,2026-06-30 23:00:00+00:00,973,23358,1h
TRXUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
UNIUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78816,1h
VETUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
WIFUSDT,2024-01-18 14:00:00+00:00,2026-06-30 23:00:00+00:00,894,21466,1h
XLMUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
XMRUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
XRPUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,78574,1h
YFIUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
ZECUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
ZILUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39287,1h
ZRXUSDT,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,39408,1h
